month,nodes,edges,avg_degree,density,gcc_fraction,avg_clustering,avg_shortest_path,degree_assortativity,month_dt
2018-03,471,21440,91.04033970276008,0.19370285043140445,1.0,0.7184365182719195,1.81115779012513,-0.3513506736819536,2018-03-01
2018-04,472,23998,101.6864406779661,0.21589477850948216,1.0,0.7131828873933191,1.7888822915542122,-0.3422826488387011,2018-04-01
2018-05,472,25154,106.58474576271186,0.22629457699089567,1.0,0.7131960636396704,1.7784555039763936,-0.34041690030999494,2018-05-01
2018-06,473,26248,110.98520084566596,0.2351381373848855,1.0,0.7125936536905247,1.769430608807826,-0.3369863848807232,2018-06-01
2018-07,475,27506,115.81473684210526,0.24433488785254276,1.0,0.7107460208005305,1.7602131912058627,-0.33190395048389393,2018-07-01
2018-08,476,28649,120.37394957983193,0.2534188412206988,1.0,0.7117777791433809,1.7511012826183106,-0.32980729173409445,2018-08-01
2018-09,478,29642,124.02510460251047,0.2600107014727683,1.0,0.7107278143702248,1.7444365499153531,-0.3258318576175576,2018-09-01
2018-10,480,30661,127.75416666666666,0.26671016005567155,1.0,0.7119429666979783,1.7377000695894225,-0.32113064206421066,2018-10-01
2018-11,480,31584,131.6,0.2747390396659708,1.0,0.7122562417966761,1.729662491301322,-0.31854552841088934,2018-11-01
2018-12,481,32674,135.85862785862787,0.28303880803880804,1.0,0.7145597547770498,1.7213357588357587,-0.31607351701141506,2018-12-01
2019-01,482,33672,139.71784232365144,0.29047368466455603,1.0,0.7133867072070394,1.7138827304802409,-0.31085418078037674,2019-01-01
2019-02,484,34474,142.45454545454547,0.29493694711086016,1.0,0.7138706106269638,1.709178173605051,-0.30775532211023987,2019-02-01
2019-03,486,35264,145.119341563786,0.2992151372449196,1.0,0.7136144223335157,1.7048916040897713,-0.3031184663350687,2019-03-01
2019-04,488,36130,148.0737704918033,0.3040529168209513,1.0,0.7169916994955554,1.7000033662099843,-0.3012184026844481,2019-04-01
2019-05,490,36717,149.86530612244897,0.3064730186553149,1.0,0.7179715961999835,1.6975668795125411,-0.29951916367577364,2019-05-01
2019-06,490,37243,152.0122448979592,0.31086348649889406,1.0,0.7188478265810032,1.693168064771921,-0.2983593192341303,2019-06-01
2019-07,491,37889,154.33401221995928,0.31496737187746787,1.0,0.7195553241688719,1.6890560704933704,-0.29593680498042185,2019-07-01
2019-08,491,38356,156.23625254582484,0.3188494949914793,1.0,0.7192733568331224,1.685173947379359,-0.2940480757742333,2019-08-01
2019-09,491,38922,158.5417515274949,0.32355459495407124,1.0,0.7190405140670709,1.680468847416767,-0.2928086808217065,2019-09-01
2019-10,494,39404,159.53036437246965,0.32359100278391406,0.9959514170040485,0.7165319706872381,1.6778020631530144,-0.29044237180003873,2019-10-01
2019-11,495,39894,161.1878787878788,0.32629125260704206,1.0,0.7213625582249745,1.6777000777000777,-0.2906525065951231,2019-11-01
2019-12,495,41041,165.82222222222222,0.33567251461988307,1.0,0.7202344358589067,1.6683188156872368,-0.2844150654756394,2019-12-01
2020-01,497,41545,167.18309859154928,0.3370626987732849,1.0,0.718990033595766,1.6669046537288246,-0.2834489973691463,2020-01-01
2020-02,498,42144,169.25301204819277,0.34054932001648447,1.0,0.72107555570952,1.6634101799552334,-0.28179254526342973,2020-02-01
2020-03,498,42721,171.570281124498,0.3452118332484869,1.0,0.7204551011365227,1.658747666723231,-0.27933097211438973,2020-03-01
2020-06,498,43294,173.8714859437751,0.34984202403174064,1.0,0.7203351522952601,1.6541174759399773,-0.2770579945130675,2020-06-01
2020-12,499,44093,176.7254509018036,0.35487038333695503,1.0,0.7210507325520781,1.6490812951203613,-0.2761692310185621,2020-12-01
2021-01,499,44664,179.01402805611224,0.35946591979139003,1.0,0.7223442211244306,1.6444857586659263,-0.2755243425689959,2021-01-01
2021-07,500,45186,180.744,0.3622124248496994,1.0,0.7234533900489977,1.6417314629258517,-0.2742016181324855,2021-07-01
